"Part";"Value";"Device";"Package";"Description";"POPULARITY";"PROD_ID";"SF_ID";"TP_SIGNAL_NAME";
"H1";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"6";"";"";"";
"H2";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"MOUNTING PAD, round";"6";"";"";"";
"J1";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_3.5MM_TRRS_SMD_RA";"Audio Jack - 3.5mm TRRS (SMD)";"";"CONN-10676";"PRT-12639";"";
"J2";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_3.5MM_TRRS_SMD_RA";"Audio Jack - 3.5mm TRRS (SMD)";"";"CONN-10676";"PRT-12639";"";
"JP7";"BME280";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";
"R3";"10k";"R1206";"1206";"";"";"";"";"";
"TP1";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP6";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP7";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP8";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP9";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP12";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP16";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP17";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP20";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP21";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"TP23";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"0";"";"";"";
"U$2";"OVAL_3MM_HOLE";"OVAL_3MM_HOLE";"OVAL_HOLE";"";"";"";"";"";
"U$3";"OVAL_3MM_HOLE";"OVAL_3MM_HOLE";"OVAL_HOLE";"";"";"";"";"";
