C1, 31.50, 48.25, 270.00, 100uF, 1206
C2, 33.25, 60.25, 0.00, 100nF, 1206
C3, 40.25, 60.25, 0.00, 100nF, 1206
D1, 31.00, 77.00, 270.00, CGRM4002-G, SOD-123_MINI-SMA
D2, 37.75, 76.89, 270.00, CGRM4002-G, SOD-123_MINI-SMA
IC2, 38.25, 54.50, 90.00, LM1117-3.3, SOT223
Q1, 21.87, 76.62, 0.00, , SOT23
Q2, 27.50, 76.50, 0.00, , SOT23
Q3, 34.25, 76.50, 0.00, , SOT23
R1, 18.50, 40.00, 90.00, 470, 1206
R10, 34.45, 71.75, 0.00, 10k, 1206
R11, 34.45, 69.35, 180.00, 100, 1206
R2, 22.00, 66.50, 0.00, 10k, 1206
R4, 28.00, 66.62, 0.00, 10k, 1206
R5, 29.30, 82.05, 180.00, 10k, 1206
R6, 22.00, 71.75, 0.00, 10k, 1206
R7, 22.00, 69.37, 180.00, 100, 1206
R8, 28.00, 71.75, 0.00, 10k, 1206
R9, 28.00, 69.01, 180.00, 100, 1206
TP11, 25.50, 40.50, 0.00, TPTP15SQ, TP15SQ
TP13, 22.00, 40.50, 0.00, TPTP15SQ, TP15SQ
TP14, 22.00, 38.50, 0.00, TPTP15SQ, TP15SQ
TP15, 22.00, 36.60, 0.00, TPTP15SQ, TP15SQ
TP18, 25.50, 38.50, 0.00, TPTP15SQ, TP15SQ
TP19, 25.50, 36.60, 0.00, TPTP15SQ, TP15SQ
U$6, 43.13, 68.90, 270.00, SWITCH_SPDT, KPS-1290
