C4, 33.25, 60.25, 180.00, 22uF, 1206
C5, 40.25, 60.25, 180.00, 22uF, 1206
IC1, 38.25, 54.50, 270.00, LM1117-5.0, SOT223
L1, 18.50, 40.00, 90.00, Green, LED1206
R3, 24.10, 23.80, 90.00, 10k, 1206
SJ1, 10.50, 61.50, 0.00, , SJ_2
SJ2, 3.50, 61.50, 0.00, , SJ_2
TP1, 18.25, 19.50, 90.00, TPTP15SQ, TP15SQ
TP10, 22.00, 40.50, 90.00, TPTP15SQ, TP15SQ
TP12, 18.25, 15.95, 0.00, TPTP15SQ, TP15SQ
TP17, 20.25, 15.95, 0.00, TPTP15SQ, TP15SQ
TP2, 22.00, 36.60, 90.00, TPTP15SQ, TP15SQ
TP21, 22.25, 15.95, 0.00, TPTP15SQ, TP15SQ
TP3, 22.00, 38.50, 90.00, TPTP15SQ, TP15SQ
TP4, 25.50, 38.50, 90.00, TPTP15SQ, TP15SQ
TP5, 25.50, 40.50, 90.00, TPTP15SQ, TP15SQ
TP6, 22.25, 19.50, 90.00, TPTP15SQ, TP15SQ
TP7, 20.25, 19.50, 90.00, TPTP15SQ, TP15SQ
U$2, 32.25, 22.75, 0.00, OVAL_3MM_HOLE, OVAL_HOLE
U$3, 26.25, 22.75, 0.00, OVAL_3MM_HOLE, OVAL_HOLE
U$4, 2.00, 81.25, 0.00, OVAL_3MM_HOLE, OVAL_HOLE
U$5, 12.00, 81.25, 180.00, OVAL_3MM_HOLE, OVAL_HOLE
U1, 29.63, 72.50, 270.00, ESP-32S, ESP-32S
