C1, 29.50, 46.25, 270.00, 100uF, 1206
C2, 31.25, 58.25, 0.00, 100nF, 1206
C3, 38.25, 58.25, 0.00, 100nF, 1206
D1, 29.00, 75.00, 270.00, CGRM4002-G, SOD-123_MINI-SMA
D2, 35.75, 74.89, 270.00, CGRM4002-G, SOD-123_MINI-SMA
IC2, 36.25, 52.50, 90.00, LM1117-3.3, SOT223
J1, 45.25, 26.39, 0.00, AUDIO_JACK_TRRSSMD_RA, AUDIO_JACK_3.5MM_TRRS_SMD_RA
J2, 45.25, 16.75, 0.00, AUDIO_JACK_TRRSSMD_RA, AUDIO_JACK_3.5MM_TRRS_SMD_RA
Q1, 19.87, 74.62, 0.00, , SOT23
Q2, 25.50, 74.50, 0.00, , SOT23
Q3, 32.25, 74.50, 0.00, , SOT23
R1, 16.50, 38.00, 90.00, 470, 1206
R10, 32.45, 69.75, 0.00, 10k, 1206
R11, 32.45, 67.35, 180.00, 100, 1206
R2, 20.00, 64.50, 0.00, 10k, 1206
R4, 26.00, 64.62, 0.00, 10k, 1206
R5, 27.30, 80.05, 180.00, 10k, 1206
R6, 20.00, 69.75, 0.00, 10k, 1206
R7, 20.00, 67.37, 180.00, 100, 1206
R8, 26.00, 69.75, 0.00, 10k, 1206
R9, 26.00, 67.01, 180.00, 100, 1206
TP11, 23.50, 38.50, 0.00, TPTP15SQ, TP15SQ
TP13, 20.00, 38.50, 0.00, TPTP15SQ, TP15SQ
TP14, 20.00, 36.50, 0.00, TPTP15SQ, TP15SQ
TP15, 20.00, 34.60, 0.00, TPTP15SQ, TP15SQ
TP16, 18.25, 15.95, 0.00, TPTP15SQ, TP15SQ
TP18, 23.50, 36.50, 0.00, TPTP15SQ, TP15SQ
TP19, 23.50, 34.60, 0.00, TPTP15SQ, TP15SQ
TP20, 20.25, 15.95, 0.00, TPTP15SQ, TP15SQ
TP23, 16.25, 15.95, 0.00, TPTP15SQ, TP15SQ
TP8, 18.25, 19.50, 90.00, TPTP15SQ, TP15SQ
TP9, 16.25, 19.50, 90.00, TPTP15SQ, TP15SQ
U$6, 41.13, 66.90, 270.00, SWITCH_SPDT, KPS-1290
