C4, 31.25, 58.25, 180.00, 22uF, 1206
C5, 38.25, 58.25, 180.00, 22uF, 1206
IC1, 36.25, 52.50, 270.00, LM1117-5.0, SOT223
L1, 16.50, 38.00, 90.00, Green, LED1206
R3, 22.10, 23.80, 90.00, 10k, 1206
SJ1, 10.50, 61.50, 0.00, , SJ_2
SJ2, 3.50, 61.50, 0.00, , SJ_2
TP1, 16.25, 19.50, 90.00, TPTP15SQ, TP15SQ
TP10, 20.00, 38.50, 90.00, TPTP15SQ, TP15SQ
TP12, 16.25, 15.95, 0.00, TPTP15SQ, TP15SQ
TP17, 18.25, 15.95, 0.00, TPTP15SQ, TP15SQ
TP2, 20.00, 34.60, 90.00, TPTP15SQ, TP15SQ
TP21, 20.25, 15.95, 0.00, TPTP15SQ, TP15SQ
TP3, 20.00, 36.50, 90.00, TPTP15SQ, TP15SQ
TP4, 23.50, 36.50, 90.00, TPTP15SQ, TP15SQ
TP5, 23.50, 38.50, 90.00, TPTP15SQ, TP15SQ
TP6, 20.25, 19.50, 90.00, TPTP15SQ, TP15SQ
TP7, 18.25, 19.50, 90.00, TPTP15SQ, TP15SQ
U$2, 30.25, 22.75, 0.00, OVAL_3MM_HOLE, OVAL_HOLE
U$3, 24.25, 22.75, 0.00, OVAL_3MM_HOLE, OVAL_HOLE
U$4, 2.00, 81.25, 0.00, OVAL_3MM_HOLE, OVAL_HOLE
U$5, 12.00, 81.25, 180.00, OVAL_3MM_HOLE, OVAL_HOLE
U1, 27.63, 70.50, 270.00, ESP-32S, ESP-32S
